id;transition;regime_num;regime_nom;etat_anterieur;etat_posterieur;dimension_n;dimension_G;dimension_I;dimension_E;dimension_Pi;dimension_H;date;date_incertitude;preuves_directes;preuves_indirectes;modeles_concurrents;seuil_ou_plage;vitesse_de_variation;etats_devenus_accessibles;etats_fermes;pertes;mecanismes_de_persistance;contre_exemples;niveau_de_preuve;evaluateurs;source_du_remplissage
TR-030;Biominéralisation contrôlée;6;Diversification minérale;TR-036 Établissement du code et de la traduction;Biominéralisation contrôlée;minéraux primaires/secondaires, fluides et constituants biologiques — cas: Biominéralisation contrôlée;réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Biominéralisation contrôlée;précipitation, dissolution, redox, métamorphisme et biominéralisation;"pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Après l'apparition du vivant; multiples lignées";stabilité cristalline et archives minéralogiques/géochimiques;héritage/dépendance au chemin depuis: TR-036 Établissement du code et de la traduction;"Après l'apparition du vivant; multiples lignées";;;;;;;Composites organo-minéraux;;;;;"Observé; histoire reconstruite";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Hazen et al. (2008), Mineral evolution — https://doi.org/10.2138/am.2008.2955"
TR-031;Synthèse couplée de précurseurs biologiques;7;Voies prébiotiques;TR-026 Altération aqueuse et argiles;Synthèse couplée de précurseurs biologiques;précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Synthèse couplée de précurseurs biologiques;mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Synthèse couplée de précurseurs biologiques;photochimie, activation, condensation, catalyse et auto-assemblage;"UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; laboratoire";cycles réactionnels, compartimentation et copie imparfaite;héritage/dépendance au chemin depuis: TR-026 Altération aqueuse et argiles;"Aucune date historique établie; laboratoire";;;;;;;Inventaires compatibles de monomères;;;;;Produit expérimentalement;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Patel et al. (2015), Common origins of RNA, protein and lipid precursors — https://doi.org/10.1038/nchem.2202"
TR-032;Concentration, activation et polymérisation;7;Voies prébiotiques;TR-031 Synthèse couplée de précurseurs biologiques;Concentration, activation et polymérisation;précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Concentration, activation et polymérisation;mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Concentration, activation et polymérisation;photochimie, activation, condensation, catalyse et auto-assemblage;"UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; laboratoire";cycles réactionnels, compartimentation et copie imparfaite;héritage/dépendance au chemin depuis: TR-031 Synthèse couplée de précurseurs biologiques;"Aucune date historique établie; laboratoire";;;;;;;Chaînes catalytiques ou informationnelles;;;;;"Produit partiellement; contexte naturel ouvert";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Patel et al. (2015), Common origins of RNA, protein and lipid precursors — https://doi.org/10.1038/nchem.2202"
TR-033;Auto-assemblage de compartiments;7;Voies prébiotiques;TR-031 Synthèse couplée de précurseurs biologiques;Auto-assemblage de compartiments;précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Auto-assemblage de compartiments;mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Auto-assemblage de compartiments;photochimie, activation, condensation, catalyse et auto-assemblage;"UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; laboratoire";cycles réactionnels, compartimentation et copie imparfaite;héritage/dépendance au chemin depuis: TR-031 Synthèse couplée de précurseurs biologiques;"Aucune date historique établie; laboratoire";;;;;;;Milieux internes sélectionnables;;;;;Produit expérimentalement;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Patel et al. (2015), Common origins of RNA, protein and lipid precursors — https://doi.org/10.1038/nchem.2202"
TR-034;Réseaux autocatalytiques et protométabolismes;7;Voies prébiotiques;"TR-032 Concentration, activation et polymérisation ; TR-033 Auto-assemblage de compartiments";Réseaux autocatalytiques et protométabolismes;précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Réseaux autocatalytiques et protométabolismes;mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Réseaux autocatalytiques et protométabolismes;photochimie, activation, condensation, catalyse et auto-assemblage;"UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; scénarios candidats";cycles réactionnels, compartimentation et copie imparfaite;"héritage/dépendance au chemin depuis: TR-032 Concentration, activation et polymérisation ; TR-033 Auto-assemblage de compartiments";"Aucune date historique établie; scénarios candidats";;;;;;;Entretien réactionnel par flux;;;;;"Produit partiellement; histoire hypothétique";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Patel et al. (2015), Common origins of RNA, protein and lipid precursors — https://doi.org/10.1038/nchem.2202"
TR-035;Catalyse ARN et copie dirigée par matrice;7;Voies prébiotiques;TR-032 Concentration, activation et polymérisation;Catalyse ARN et copie dirigée par matrice;précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Catalyse ARN et copie dirigée par matrice;mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Catalyse ARN et copie dirigée par matrice;photochimie, activation, condensation, catalyse et auto-assemblage;"UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; laboratoire";cycles réactionnels, compartimentation et copie imparfaite;héritage/dépendance au chemin depuis: TR-032 Concentration, activation et polymérisation;"Aucune date historique établie; laboratoire";;;;;;;Couplage entre séquence et catalyse;;;;;"Produit partiellement; autonomie hypothétique";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Patel et al. (2015), Common origins of RNA, protein and lipid precursors — https://doi.org/10.1038/nchem.2202"
TR-036;Établissement du code et de la traduction;8;Vivant;TR-035 Catalyse ARN et copie dirigée par matrice;Établissement du code et de la traduction;gènes, ARN, protéines, membranes, métabolites et organites — cas: Établissement du code et de la traduction;réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: Établissement du code et de la traduction;traduction, métabolisme, réplication, symbiose et signalisation;"ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: Avant LUCA; date et enchaînement inconnus";réplication, réparation, hérédité, sélection et homéostasie;héritage/dépendance au chemin depuis: TR-035 Catalyse ARN et copie dirigée par matrice;"Avant LUCA; date et enchaînement inconnus";;;;;;;Production de protéines à partir de séquences;"Réassignations majeures du code ; architectures de traduction alternatives, rendues très coûteuses.";;;;"Reconstruit; origine ouverte";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Moody et al. (2024), The nature of LUCA and its impact on the early Earth system — https://doi.org/10.1038/s41559-024-02461-1"
TR-037;LUCA;8;Vivant;TR-036 Établissement du code et de la traduction;LUCA;gènes, ARN, protéines, membranes, métabolites et organites — cas: LUCA;réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: LUCA;traduction, métabolisme, réplication, symbiose et signalisation;"ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: ~4,2 Ga proposé; modèle phylogénétique";réplication, réparation, hérédité, sélection et homéostasie;héritage/dépendance au chemin depuis: TR-036 Établissement du code et de la traduction;"~4,2 Ga proposé; modèle phylogénétique";;;;;;;Ancêtre commun des cellules actuelles;;;;;Reconstruit phylogénétiquement;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Moody et al. (2024), The nature of LUCA and its impact on the early Earth system — https://doi.org/10.1038/s41559-024-02461-1"
TR-038;Photosynthèse oxygénique;8;Vivant;TR-037 LUCA;Photosynthèse oxygénique;gènes, ARN, protéines, membranes, métabolites et organites — cas: Photosynthèse oxygénique;réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: Photosynthèse oxygénique;traduction, métabolisme, réplication, symbiose et signalisation;"ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: Antérieure à la Grande Oxygénation; date débattue";réplication, réparation, hérédité, sélection et homéostasie;héritage/dépendance au chemin depuis: TR-037 LUCA;"Antérieure à la Grande Oxygénation; date débattue";;;;;;;Utilisation de l'eau et transformation redox planétaire;;;;;Reconstruit par génomique et archives;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Moody et al. (2024), The nature of LUCA and its impact on the early Earth system — https://doi.org/10.1038/s41559-024-02461-1"
TR-039;Endosymbiose mitochondriale;8;Vivant;TR-037 LUCA;Endosymbiose mitochondriale;gènes, ARN, protéines, membranes, métabolites et organites — cas: Endosymbiose mitochondriale;réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: Endosymbiose mitochondriale;traduction, métabolisme, réplication, symbiose et signalisation;"ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: Paléoprotérozoïque; fenêtre encore discutée";réplication, réparation, hérédité, sélection et homéostasie;héritage/dépendance au chemin depuis: TR-037 LUCA;"Paléoprotérozoïque; fenêtre encore discutée";;;;;;;Cellule eucaryote compartimentée;;;;;Reconstruit;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Moody et al. (2024), The nature of LUCA and its impact on the early Earth system — https://doi.org/10.1038/s41559-024-02461-1"
TR-040;Multicellularités complexes indépendantes;8;Vivant;"TR-029 Oxygénation durable de la surface ; TR-039 Endosymbiose mitochondriale";Multicellularités complexes indépendantes;gènes, ARN, protéines, membranes, métabolites et organites — cas: Multicellularités complexes indépendantes;réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: Multicellularités complexes indépendantes;traduction, métabolisme, réplication, symbiose et signalisation;ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: Apparitions multiples, surtout Protérozoïque-Phanérozoïque;réplication, réparation, hérédité, sélection et homéostasie;"héritage/dépendance au chemin depuis: TR-029 Oxygénation durable de la surface ; TR-039 Endosymbiose mitochondriale";Apparitions multiples, surtout Protérozoïque-Phanérozoïque;;;;;;;Différenciation, tissus et coopération somatique;Autonomie de reproduction et de dispersion des cellules devenues somatiques.;;;;"Observé; histoire reconstruite";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Moody et al. (2024), The nature of LUCA and its impact on the early Earth system — https://doi.org/10.1038/s41559-024-02461-1"
